one of the,0.312480274406
live up to,-0.734030335463
it 's so,-0.695078496227
is not a,-0.398045517904
is n't very,-0.442607340243
is in the,-0.273411327038
in the process,0.642265350557
film , which,0.262985699676
edge of your,0.198655167043
do n't have,0.36676043989
characters who are,-0.3853864216
as the film,-0.138003714872
a great deal,0.601095784111
Big Fat Greek,0.0456804791416
, that 's,-0.110719417145
, but a,0.168963428601
the price of,0.148254463228
the idea of,-0.768757832478
the human spirit,0.433372865746
tell a story,-0.441789374753
part of its,0.579705190978
one man 's,0.302939581263
of their own,0.412224219165
of the Damned,-0.192957011176
it 's just,-0.270046921562
is n't nearly,-0.37409661988
in a way,-0.0105256088165
a little more,-0.186482512827
Queen of the,-0.192957011176
, let alone,-0.876240653909
's impossible to,-0.526902222859
young woman 's,-0.428966106734
you feel like,-0.747562745723
who are n't,0.207847505684
this film ,,-0.0223366486085
the same old,-1.28837537483
the film has,0.557400979182
that can be,-0.0327016754585
side of the,0.188577929622
of what it,0.336888862925
nothing more than,-0.61827562389
more of the,-0.565309673644
many of the,0.0620432072216
it could have,-0.603515536498
in the most,0.372524445044
in the mood,-0.104329790251
for the most,0.15562423484
exploration of the,0.743363706569
even the most,0.427995345157
and a little,0.0437602679473
a world of,-0.0850241371787
My Big Fat,0.216889110018
, one that,0.379861123315
you 're a,0.418303128698
who ca n't,-0.466781454327
to watch .,0.231832852764
to the story,0.311830855097
to make you,-0.283642711675
of the first,0.467675591273
lost in the,-0.75233815036
involved in the,0.172323111346
in a while,0.447588861719
hard to imagine,-0.27978157433
both sides of,0.449774853471
a handful of,-0.0514927718701
, you 're,0.0415390601779
, funny ,,1.45983558578
, and to,0.609392448928
you 'll be,-0.187114920516
when it comes,-0.0030133928299
the life of,-0.0260912667908
sort of thing,-0.370218129777
of those films,-0.17336367582
n't nearly as,0.220578049942
it were n't,0.610306842662
it is to,-0.420211087002
in such a,0.215455322606
in a film,-0.203277896843
fun to watch,0.231525486641
every bit as,0.833005388533
because it 's,-0.0779754241577
add up to,-0.207902127441
, but ultimately,-0.493452484892
' and `,-0.238993624279
turns out to,-0.0263102091236
to watch ,,0.304894428692
the character 's,0.45997777763
that this is,-0.00453609878517
of its characters,0.279477649336
much as it,0.373795609295
in on the,-0.0216425070423
because of the,0.778882651544
as this one,-0.212277227573
and a lot,0.0219058268761
a while ,,-0.84597882836
a movie with,-0.0189673714359
a long time,-0.192873013261
I 'm not,-0.0914223900134
-- or ,,-0.759105398422
, directed by,-0.360477513834
, but its,-0.0753770153589
, but as,-0.343178765957
those who are,-0.447682759739
the sort of,-0.346206069109
the experience of,-0.594494363233
that would make,0.0190562078489
that manages to,0.540824948915
of people who,0.155650710304
of life and,0.979246118942
of a story,-0.144492558181
no matter how,-0.47658907707
may be a,-0.128083868167
many of us,0.0663802708599
knows how to,0.772299811613
kind of film,-0.30303813342
its characters ',-0.497708181271
is n't much,-0.546437969923
interest in the,-0.123542942353
great deal of,-0.34778333273
by the end,0.217934360454
Trouble Every Day,-0.325399142675
with a few,-0.0973627684547
to the film,-0.126637696305
to do it,0.253407377017
to begin with,-0.516581984634
the world of,0.056816998199
the story to,0.0120385778277
the story ,,0.28010563874
the characters are,-1.037698189
than your average,0.143959393953
of the human,0.309840263484
movie in which,0.263971385468
movie , and,0.450833719121
me want to,-0.0677644484922
is more than,0.857618849922
is hard to,0.378024175609
is going to,0.309639162281
in the audience,-0.347778301065
if it 's,0.125219216635
do n't know,0.203631451901
but there 's,0.622702241868
because of its,0.083837819421
as far as,-0.185059126036
and at times,0.636831759118
about the film,-0.194136024371
a work of,0.638457637648
a part of,0.378783275633
a movie .,-0.340789408438
a group of,0.262431964234
a film so,-0.0401816327926
, that it,-0.65255356127
, no matter,0.293359849984
, but ,,-0.500774516115
'' is a,0.373095790386
you have to,-0.13305659604
to say about,-0.0755750599341
the screen in,-0.316783265113
the promise of,0.331606630481
the lives of,0.18159671605
the essence of,0.363289312561
that 's not,-0.626560121638
of what 's,-0.191823724485
of the original,-0.414079401743
of the cultural,-0.416824258589
of the actors,-0.0410017821117
of the ``,-0.190744921725
of love ,,0.595708121436
of a very,0.48846422351
more of a,-0.243819513489
it thinks it,-0.177788788586
it is .,-0.292403966265
he 's not,-0.0527637626152
film has a,-0.332352052469
come up with,-0.556652270966
be able to,0.10475542634
a movie can,0.819641466494
a movie as,-0.620529898562
There 's no,-0.132857494061
, in which,0.0604717386063
, but I,0.0773260533651
to the level,-0.497157790199
to see this,0.0273937020239
to say ,,-0.651896996865
to be .,0.242663285609
there is no,-0.33640506395
the subject matter,-0.299814847728
the movie does,-0.0798757896808
the filmmaker 's,0.251885122788
sides of the,0.140307403357
on and on,-0.258659985267
of the character,-0.497117336251
n't feel like,0.412771563836
meditation on the,0.645120292665
is n't as,-0.62069332841
in this movie,0.530577612054
here , but,-0.153331798408
film , and,0.132179045479
dealing with the,-0.12937573835
be seen as,-0.130432601792
at the very,-0.149187555025
about growing up,0.438796875524
a summer of,0.400545063479
a movie ,,0.0432210152032
a long way,0.199276536668
New York City,0.00106054686262
I do n't,-0.745287682854
-LRB- as well,-0.976210047306
, with its,-0.0736228415578
, if only,0.342440441685
, however ,,-0.0219130001648
, he 's,-0.0701956274989
, as the,-0.0876131897382
, and in,0.714023672672
though it 's,-0.413219115946
this is the,-0.122709611476
the work of,0.261379093838
the expense of,-0.253385967254
the director 's,0.38618239864
that 's so,0.223542003403
some sort of,-0.618518386686
of the people,0.105653426967
of the greatest,0.543120783118
of the camera,0.15785778478
just as much,1.19452992746
is just as,-0.757908802667
in terms of,-0.14609986688
for people who,0.125704552365
but the film,0.180554899663
but it also,-0.196916400239
an hour and,-0.285190804238
a human face,0.638939873114
a feature film,-0.159528868894
We Were Soldiers,-0.0581240208987
, rather than,-0.0873848894791
, full of,0.314817794823
, but he,-0.110260101867
to be made,-0.332108587593
there 's nothing,-0.953374621235
the people who,0.332223932105
the nature of,-0.0854325680865
the last time,-0.183771561794
the intelligence of,-0.94074344813
the film with,0.665470587416
the film its,0.362170631119
that , in,0.695272117029
seems to be,-0.324165169682
rest of the,-0.307493815295
on the other,-0.0842539139413
of the more,0.0918872539879
of the cast,-0.201314386693
of one of,0.580168906754
of movie that,-0.146984619632
of love and,1.18951164515
of it is,0.0390770946145
of All Fears,-0.28765422495
it is about,-0.201717470041
it 's an,0.353653434164
is essentially a,0.583888161494
is also a,0.601564851661
in a major,-0.709265393756
have come to,-0.364503663049
for a few,-0.355694068873
comes across as,-0.928473408828
a romantic comedy,0.0084395751252
a chance to,0.830564911607
, as it,0.00641644357385
, as in,0.121606268239
you can get,-0.700498769259
ways in which,0.580912606502
to sustain interest,-0.185864467839
to each other,-0.127312918475
to be more,0.251437965425
to be as,-0.218544526444
this film 's,0.419602791443
the viewer 's,-0.0264299125322
the story and,-0.211516106022
the era of,-0.464291743261
that might have,-0.916385362905
that makes the,0.147942522061
romance , tragedy,0.471289329264
out of his,-0.629277352089
or even a,-0.571995931367
of those movies,-0.386151315438
of the modern,0.680108487191
of the director,-0.34610145869
of the Ya-Ya,-0.110664691516
of its actors,0.688856283187
of New York,0.624988846432
nearly three hours,-1.03761244401
more out of,-0.31293908347
leave the theater,-0.204381892089
its lack of,-0.820655326833
have n't seen,-0.326536224968
feels more like,-0.245977414144
enough to keep,0.489184116841
characters and a,-0.434528639237
at its core,-0.568959104651
as a film,-0.017241946445
and the other,-0.587314803722
and not a,-0.103205346314
and for the,0.225252333245
all the wrong,-0.730917359252
a children 's,-0.30678662806
` comedy ',-0.81224871061
Sum of All,-0.501217420151
One of those,0.385827431116
Adam Sandler 's,-1.04825028829
-LRB- A -RRB-,-0.320309985903
, ultimately ,,-0.569568433062
, music and,0.632068780247
, in a,0.843873844993
, and I,-0.0788647000978
're going to,-0.535794880083
you ca n't,0.323882247039
whole lot of,0.433930567044
very , very,-0.422979421703
up in a,-0.678964425886
under the skin,-0.0105323022014
to terms with,-0.172272708845
to be an,0.105544923947
this one is,0.627677930923
the worst of,-0.673336417657
the script and,-0.22475748926
the right place,0.0843602559951
the mood for,0.177133590477
the first place,-0.0180232296615
the filmmakers ',-0.527890977702
the film as,-0.0786187921282
the director ,,0.725408413113
the characters ,,0.37367142056
the audience to,-0.268673274408
the art of,0.800468368861
the Ya-Ya Sisterhood,0.558284940149
that it was,-0.380986051284
on their own,0.311167467587
of the same,0.0486521224832
of the great,0.597659466579
of the `,0.127693441849
n't help but,-0.0101796694376
makes up for,0.800522117394
know how to,-0.439019231082
keep it from,-0.150155712693
it 's still,0.435881523918
is such a,0.574078287006
is not the,-0.171016692987
is n't the,-0.78557427488
is a little,-0.716837640265
is a film,-0.11444362608
if you 've,0.371554491765
hour and a,-0.496273687891
hard to resist,1.38524697247
for the big,-0.444823237583
film to be,0.374280128942
does n't know,0.47157548023
does n't always,-0.600875378772
ca n't quite,-0.0420737289982
bit of a,-1.09641041597
back to the,-0.250958304707
as entertaining as,0.00921975149036
and to the,0.096659715791
an exercise in,0.440222325267
about the characters,0.13285883053
a very good,0.6285620637
a hint of,0.0151760886544
The story is,-0.933458125035
The film has,0.412131847066
, the characters,0.202149897654
, at times,0.431254774494
, and at,0.322004860364
're in the,-0.173399786492
with lots of,0.235725801204
well as the,-0.979959437196
version of the,-0.233556685636
two main characters,-0.516510305541
this movie .,0.282647244074
their way through,-0.432719117101
the title character,-0.0717756850692
the screen .,0.22822431706
the picture is,0.0827469360847
the movie has,-0.174228837881
the heart of,0.382584154897
the first time,-0.112632707744
the credits roll,0.789168207206
that there 's,-0.110982991089
that makes you,0.416026513558
story about a,0.129597746919
so much that,0.133674471939
on your face,0.282647171402
of those rare,0.346902660945
of all ,,-0.17260550022
n't know what,-0.295478825567
movies of the,0.151361096562
movie has a,-0.230129827872
movie can be,-0.744173933032
most of all,0.936996648275
might want to,-0.347255487536
made the first,0.0349886105036
lives of the,0.0526279637003
its own good,0.0582665656
it all ,,0.127286225953
in which a,-0.709686337834
in the tiny,0.647526032495
how bad it,-1.65697390537
funny , but,-0.0932149930918
film , but,-0.0215115539952
fact that the,-0.19075375167
being able to,0.246933169859
be a bit,-0.30197249997
at the movies,0.290080964762
at the expense,-0.103748770187
as it does,-0.101401911025
as if the,0.19834615889
anyone who has,-0.0451718958649
and that 's,0.297984136716
and devoid of,-1.25661356772
all of this,-0.53422068581
a great film,0.216632412542
a few laughs,0.262182376147
The Grey Zone,-0.46668662583
Secrets of the,-0.625527074902
, though ,,-0.104182063
, making it,-0.289851720166
, funny and,1.4301316109
, and some,0.52460825112
, and by,0.678753401756
's not too,0.308887171927
would have made,-0.155578681448
what is essentially,-0.321888945213
well as a,0.588458474199
to those who,-0.0688918465767
to believe that,-0.581204792653
to be taken,0.340752296364
the year .,-0.0447735876047
the whole thing,-1.03893255359
the manner of,0.00199541708145
the film a,0.00604038834463
the core of,-0.600465563579
that should be,-1.105113791
that it does,0.198813312386
than the ones,0.203862519901
than a few,-0.136621685715
story , but,0.163717153768
something to be,-0.440047510397
smile on your,0.639385372553
piece of filmmaking,0.869626344668
other side of,-0.0436042903133
of being a,-0.718056036084
of a young,-0.535071907154
not so much,-0.168966441966
members of the,0.328066824839
itself in the,0.514497959093
its share of,0.653420405092
its own right,1.55986321004
it to be,0.310506540517
it should be,-0.247014805177
it 's impossible,-0.0311332277895
insight into the,0.399146845468
have been made,-0.76042835231
give it a,0.39117885859
for its own,-0.809375839051
feel like you,-0.724434081455
does n't mean,-0.405294347341
dare I say,0.0130081882619
can be as,0.316258862028
by its own,-0.94450294204
better as a,-0.369937610957
be released in,-0.516290389925
appears to have,-0.100246674978
also one of,0.127635638083
a sweet ,,1.19951713084
a smile on,0.639385372553
a good movie,-0.676647048241
`` they '',-0.233940950558
Two Smoking Barrels,-0.155327663764
The Sum of,0.354440733795
The Lion King,-0.246889848241
The Four Feathers,-0.415530440242
Saving Private Ryan,0.257885067842
, political intrigue,0.392159439507
, or the,-0.727805769714
, complete with,-0.594873705172
, and then,-0.429916520552
's trying to,-0.202847185629
's as if,-0.722441665753
will leave you,0.144945247999
what kind of,-0.414576316226
what it wants,-0.0614780685568
to think about,0.516553966315
to believe in,0.125987618072
the story of,0.674670669573
the sake of,-0.130337153377
the concession stand,0.322675565719
that this film,0.0354610525626
that makes it,0.557472821593
that it can,-0.325381485257
straight to video,-0.888831589487
special effects ,,0.150083668751
power of the,0.608098910334
over the head,0.309976244691
out of a,-0.000107288412518
out in the,-0.217181390506
or any other,-1.0969610732
or , really,-0.161407726939
on the set,-0.49410918495
of these characters,0.468141105018
of the show,-0.107685733165
of its title,-0.363025919414
of all ages,1.09308740343
needs to be,0.506602404673
much more than,-0.0525329680408
love story ,,1.00434540855
its target audience,-0.823915855492
it not for,-0.401208276823
is the best,1.1601176261
is better than,0.819060147921
in the brain,-0.223249124412
funny , and,0.229085923682
for the audience,0.000687419752069
for most of,0.484629486192
for children ,,0.101339105506
films of the,0.134392172442
fans of the,0.0543895257042
elements of the,0.572562811105
does n't work,-0.982338174408
does n't offer,-0.620682710515
caught up in,-0.678299931509
based on the,0.362402591102
and just plain,-0.226798925857
and Two Smoking,-0.236564297778
an episode of,-0.456034850718
a portrait of,0.468898701284
a level of,0.661858440104
Walk to Remember,0.682921195343
The Country Bears,-0.598683378475
The Adventures of,-1.02419315892
Santa Clause 2,0.774010754424
Hong Kong action,0.0716558650902
Holly and Marina,0.430408476888
Divine Secrets of,0.60855639191
, well ,,-0.189630963758
, most of,0.12496014499
, and its,-0.304664982762
, and ,,0.135244211299
's going to,0.420695678208
're looking for,0.391339835499
you 're going,0.0784469330532
will have a,0.724503109661
what it is,-0.115499432024
to sustain a,-0.216627003568
to have a,0.0857147046287
through the motions,-0.22373623933
this film that,-0.877394633653
the way it,-0.45381717536
the potential for,-0.0431625655137
the monster 's,-0.177685422061
that is the,-0.293192535115
that do n't,0.699638250469
that 's as,0.48009342867
thanks to the,0.944213184498
suffers from a,-1.15170512845
sneaks up on,1.19449054168
on both sides,-0.433523446252
of the writing,0.260551688202
of the other,-0.65188741217
of modern times,-0.00415197095391
much like a,-0.251485169864
movie is a,-0.327922765879
more often than,0.501617911321
more like a,-1.01196843488
make up for,0.277930544187
it turns out,0.2313991152
it needs to,-0.743649466841
it into a,-0.164920666341
it 's all,-0.162519095797
is actually funny,0.0919049882967
is a sweet,0.727112527515
in the series,-0.0415517622054
in search of,-0.672347416219
going through the,-0.509450525044
down in a,-0.532041698009
director 's previous,0.524606554277
close to being,-0.371982028293
characters , its,0.105695068869
bland as a,-0.853119435768
be the movie,0.600997784612
be playing out,-0.0490831332387
and most of,-1.5602369603
an opportunity to,-0.119625856684
an exploration of,-0.99303552792
all of his,-0.401056103758
a smart ,,1.15054717682
a lot better,-0.238965270791
a film with,-0.445078459189
Stock and Two,0.445634770429
Some of the,0.458730805838
It 's hard,0.499108369622
H.G. Wells ',-0.0233749135405
Eight Legged Freaks,0.345872558897
, it does,0.233230293094
, especially when,-0.944726706969
, er ,,0.229967584833
, but in,0.390129955765
's supposed to,-0.37587664368
you can imagine,-0.748811943368
you 're not,-0.270186090865
with its own,-0.176732952463
why it 's,0.665272914217
who live in,0.187759327455
what could have,0.0444891885039
were it not,0.376012024445
trying to make,0.266811317522
to think of,0.0718825316958
to tell a,0.263692991427
the urge to,-0.655812893705
the talents of,1.1831231762
the service of,-0.11944092796
the screen ,,-0.400845883804
the relationship between,0.595986857858
the prospect of,-0.119905513733
the man who,-1.2992260027
the center of,0.273254189782
the audience over,0.078110793571
that it makes,-0.655346869284
tale of a,0.385535913701
start to finish,0.153623217979
so that it,0.339300175138
should be playing,-0.0240752367286
sets out to,0.638073331148
seem to have,-0.33874824336
pretty much the,0.0907135202124
people who are,0.0551090452709
painful to watch,-1.08463381934
or at least,-0.70574049122
of them are,-0.0640611719799
of modern life,0.222932475758
of a modern,-0.144380223535
not be a,-0.413472511271
none of them,-0.928928320022
no reason to,-1.20151679683
much the same,0.0907135202124
may not have,-0.0532147712869
long as you,0.330969174445
it is hard,-0.940516215712
it 's trying,0.0342140120937
is a good,0.755411437657
in the title,0.0280076800529
if you have,-0.216241327704
he 's a,0.107960305013
for the ride,0.393417811696
for plenty of,0.253004669637
feels as if,-1.05403785321
feel as if,0.235808251933
entertaining as it,0.463391334377
enough to sustain,-0.250879887091
ends with a,-0.516506325625
but none of,-0.126528688048
audience over the,0.078110793571
an engaging and,0.959631209188
all of the,0.826071704906
again and again,0.300428934045
actors in the,0.19463589319
a string of,0.727316669177
a story about,0.716429232882
a spark of,0.243774201556
a script that,-0.962599940182
a pretty good,0.724330074923
a minor miracle,0.992580253919
a good film,0.346820531842
a bit too,-0.581264132774
The Quiet American,0.0167024386528
None of this,-0.360181812231
John Carpenter 's,-0.154453609681
It 's an,0.523725545228
A movie that,-0.198622206972
A Christmas Carol,0.598411327837
-- in the,0.492460112062
-- even if,-0.209934538505
, which has,0.182603975722
, tragedy ,,-0.232205236361
, there is,-0.281475970716
, duty and,0.749983649885
, but what,0.543311178415
, and yet,0.424107235987
, and his,0.465021145365
's still a,0.513044555962
's just a,-0.239490800133
's film is,-0.0977086900996
's difficult to,-0.722400534272
's a movie,-0.0117666866382
's a lot,0.822728310321
you 've got,0.10170015636
you 're looking,-0.110349098032
which opens today,-0.137433286015
whether or not,-0.672463850406
what it 's,0.368619433661
we should be,-0.0231425769471
under your skin,-0.10671146068
to the theatre,0.0637209267519
to provide a,-0.363446242515
to be something,0.429622092985
to be in,-0.550622840732
time I saw,-0.128769074805
those films that,-0.604295595732
the pantheon of,-0.495545179483
the most of,-0.0236804450709
the bottom of,-0.784895775893
than the first,-0.130250091686
than it does,-0.457752678426
suspense of a,0.705312269808
something that is,0.220952327689
see a movie,-0.571426650766
piece of work,1.20548889845
of this movie,0.257081678994
of this is,-0.740227673615
of the way,-0.21762388092
of the Bride,0.289432985322
of creating a,0.170795632593
nothing but a,-0.325364027777
not only a,-0.0243268243041
none of which,-0.481320763444
movie that will,0.703524640998
more than he,-0.555137092249
more interested in,-0.479790754484
make you feel,0.15802302311
like the movie,0.263063551987
its title character,-0.123409676347
its running time,-0.135268723766
it would have,-0.0959113436233
it in the,-0.368995712567
is even more,-0.36505145755
is all too,-0.3087425757
in this world,0.583408297304
if the director,-0.784341179269
if it had,-0.353277346752
how many times,-0.472009855607
happens to be,0.740645158252
for the sake,-0.29907552426
does n't really,-1.2935194433
does n't even,-0.823807651923
do n't see,0.197667622689
courage and dedication,0.568897948029
comedy with a,0.990643483101
by way of,-0.628838821016
by the Sea,-0.0629334544465
and an equally,-0.313065856912
and , ultimately,0.618939330454
all manner of,-0.072657370921
all about the,-0.227080363034
able to look,1.02251813227
a war zone,0.376260010542
a tribute to,0.867199315587
a lot to,-0.323133118891
a film like,0.487163224662
The Mothman Prophecies,-0.194611203406
Sundance Film Festival,0.0135027067355
Run Lola Run,-1.05453987554
No Such Thing,-0.298637003151
M. Night Shyamalan,0.216117147574
I did n't,-0.145871207007
A Walk to,-0.046042129381
, there 's,0.0768590367967
, and he,0.606815437817
worth caring about,0.0672555443833
with a smile,-0.514964304155
when we should,-0.0453524941128
waste of time,-1.31131440024
vapid and devoid,-0.227856395254
used to be,0.191171759713
too much of,-0.342737457381
to make them,-0.10970291322
to get through,-0.513220032082
to find an,0.0609593572302
those of us,-0.490560271293
the sum of,-0.378475074167
the state of,-0.475706051624
the script ,,-0.345513919556
the other side,-0.465306757115
the only thing,-0.512478489268
the name of,-0.295667655363
the importance of,0.471286959402
the first one,0.439268929561
the finish line,-0.378969793695
the cast is,0.700789696704
the actors ',0.577071224431
that they are,0.301076140902
that could have,-0.155519789238
than by its,0.60736061091
sum of its,-0.378475074167
story with a,0.708202450029
so much fun,0.876095621146
silly than scary,-0.457132561286
self-satisfied 22-year-old girlfriend,-0.157478897368
out of your,-0.147521831928
of this film,0.235591686236
of the previous,-0.536799408312
of the entire,-0.353800968656
of soap opera,-0.628370772282
of its running,-0.196446417782
nothing short of,-0.275894568739
nearly impossible to,-0.968204007561
n't care about,-0.278645203571
movies ever made,1.00085612365
movie that ends,-0.628733918787
more than the,-0.077840451271
more interesting than,0.47014198653
may have been,-0.110218311858
makes you feel,0.072329487053
it 's as,1.20152902815
is about the,-0.126520577861
in years .,0.907566421525
in which we,0.0882061455598
in the manner,0.366934887083
in a long,-0.219226250076
if they were,-0.25440669771
has to be,0.365846727096
from being a,0.481112798921
feel of a,-0.648831928609
feel like the,0.239308774719
